Words Cnts:  6713                        Number of Occurrences: 87734
arthur                                   frequency:18   
artifacts                                frequency:3    
artist                                   frequency:1    
arts                                     frequency:14   
as                                       frequency:575  
ash                                      frequency:4    
ashamed                                  frequency:2    
ashen                                    frequency:1    
ashes                                    frequency:4    
aside                                    frequency:9    
ask                                      frequency:36   
asked                                    frequency:43   
askew                                    frequency:1    
asking                                   frequency:6    
asks                                     frequency:3    
asleep                                   frequency:5    
assembled                                frequency:1    
assembly                                 frequency:2    
assistance                               frequency:1    
assistant                                frequency:3    
assortment                               frequency:1    
assured                                  frequency:3    
astonishment                             frequency:3    
astronomy                                frequency:1    
at                                       frequency:648  
atmosphere                               frequency:2    
attaaaack                                frequency:1    
attached                                 frequency:1    
attack                                   frequency:28   
attacked                                 frequency:20   
attacker                                 frequency:5    
attacking                                frequency:7    
attacks                                  frequency:17   
attempted                                frequency:1    
attempting                               frequency:1    
attempts                                 frequency:2    
atten                                    frequency:1    
attend                                   frequency:1    
attention                                frequency:6    
attic                                    frequency:3    
attitude                                 frequency:1    
attract                                  frequency:1    
attracted                                frequency:2    
attracting                               frequency:1    
auburn                                   frequency:1    
audible                                  frequency:2    
audience                                 frequency:1    
august                                   frequency:1    
aunt                                     frequency:25   
auntie                                   frequency:1    
author                                   frequency:1    
autobiography                            frequency:3    
autograph                                frequency:3    
automatically                            frequency:3    
avoid                                    frequency:5    
avoided                                  frequency:3    
avoiding                                 frequency:3    
awake                                    frequency:11   
award                                    frequency:10   
awards                                   frequency:1    
aware                                    frequency:4    
away                                     frequency:90   
awe                                      frequency:1    
awestruck                                frequency:1    
awful                                    frequency:5    
awfully                                  frequency:1    
awkward                                  frequency:2    
awkwardly                                frequency:4    
axe                                      frequency:1    
azkaban                                  frequency:12   
b                                        frequency:3    
babble                                   frequency:2    
babbling                                 frequency:1    
baby                                     frequency:2    
back                                     frequency:276  
backed                                   frequency:13   
backfired                                frequency:3    
background                               frequency:2    
backing                                  frequency:5    
backs                                    frequency:4    
backtracked                              frequency:1    
backward                                 frequency:19   
bacon                                    frequency:5    
bad                                      frequency:26   
bade                                     frequency:1    
badge                                    frequency:6    
badger                                   frequency:1    
badly                                    frequency:1    
bag                                      frequency:15   
bags                                     frequency:7    
bait                                     frequency:1    
baiting                                  frequency:1    
baking                                   frequency:1    
balaclava                                frequency:3    
bald                                     frequency:4    
balefully                                frequency:1    
ball                                     frequency:2    
ballet                                   frequency:1    
balloon                                  frequency:1    
balls                                    frequency:6    
bandaged                                 frequency:1    
bandages                                 frequency:2    
bandon                                   frequency:1    
bandy                                    frequency:1    
bang                                     frequency:10   
banged                                   frequency:3    
bangin                                   frequency:1    
banging                                  frequency:4    
bangs                                    frequency:2    
banished                                 frequency:1    
banisters                                frequency:1    
bank                                     frequency:5    
banner                                   frequency:1    
banquets                                 frequency:1    
banshee                                  frequency:4    
bar                                      frequency:1    
bare                                     frequency:3    
bared                                    frequency:1    
barely                                   frequency:21   
barging                                  frequency:1    
baring                                   frequency:1    
bark                                     frequency:2    
barked                                   frequency:5    
barks                                    frequency:2    
barn                                     frequency:1    
baron                                    frequency:1    
barred                                   frequency:2    
barrel                                   frequency:2    
barricaded                               frequency:1    
barrier                                  frequency:13   
bars                                     frequency:13   
basilisk                                 frequency:19   
basin                                    frequency:5    
basis                                    frequency:1    
basket                                   frequency:4    
bat                                      frequency:5    
bated                                    frequency:2    
bath                                     frequency:1    
bathroom                                 frequency:30   
bats                                     frequency:2    
battered                                 frequency:1    
battering                                frequency:1    
battle                                   frequency:1    
battling                                 frequency:1    
bawling                                  frequency:1    
bayliss                                  frequency:1    
be                                       frequency:367  
beacon                                   frequency:1    
beady                                    frequency:2    
beak                                     frequency:6    
beaker                                   frequency:1    
beakerful                                frequency:1    
beamed                                   frequency:7    
beaming                                  frequency:7    
bear                                     frequency:4    
beard                                    frequency:5    
bearded                                  frequency:1    
bearing                                  frequency:4    
beast                                    frequency:2    
beat                                     frequency:4    
beaten                                   frequency:2    
beaters                                  frequency:2    
beating                                  frequency:5    
beautiful                                frequency:2    
became                                   frequency:9    
because                                  frequency:66   
beckoned                                 frequency:3    
become                                   frequency:6    
becoming                                 frequency:5    
bed                                      frequency:52   
bedclothes                               frequency:1    
bedraggled                               frequency:1    
bedroom                                  frequency:9    
beds                                     frequency:5    
bedside                                  frequency:4    
bedspread                                frequency:2    
bee                                      frequency:1    
been                                     frequency:263  
beetle                                   frequency:5    
beetles                                  frequency:1    
befall                                   frequency:1    
before                                   frequency:94   
befouling                                frequency:1    
beg                                      frequency:2    
began                                    frequency:32   
begging                                  frequency:1    
begin                                    frequency:2    
beginner                                 frequency:1    
beginners                                frequency:1    
beginning                                frequency:1    
begonia                                  frequency:1    
begun                                    frequency:5    
behave                                   frequency:2    
behavior                                 frequency:2    
beheaded                                 frequency:1    
behind                                   frequency:95   
being                                    frequency:38   
belch                                    frequency:2    
belching                                 frequency:2    
believable                               frequency:1    
believe                                  frequency:24   
believed                                 frequency:7    
believing                                frequency:3    
bell                                     frequency:14   
bellow                                   frequency:1    
bellowed                                 frequency:5    
bellowing                                frequency:1    
belong                                   frequency:3    
belonged                                 frequency:1    
below                                    frequency:16   
belt                                     frequency:2    
bemused                                  frequency:1    
bemusedly                                frequency:1    
bench                                    frequency:6    
bend                                     frequency:4    
bending                                  frequency:4    
beneath                                  frequency:12   
benefited                                frequency:1    
bent                                     frequency:13   
berserk                                  frequency:1    
berth                                    frequency:1    
beside                                   frequency:2    
bespectacled                             frequency:1    
best                                     frequency:33   
bet                                      frequency:17   
betide                                   frequency:1    
better                                   frequency:57   
between                                  frequency:24   
beware                                   frequency:3    
bewildered                               frequency:3    
bewitch                                  frequency:1    
bewitched                                frequency:4    
bewitching                               frequency:2    
beyond                                   frequency:5    
bickering                                frequency:1    
bicorn                                   frequency:2    
bid                                      frequency:1    
big                                      frequency:15   
bigger                                   frequency:4    
biggest                                  frequency:1    
biggish                                  frequency:1    
bigheaded                                frequency:1    
bill                                     frequency:7    
billowing                                frequency:1    
bin                                      frequency:7    
binns                                    frequency:16   
bird                                     frequency:20   
birds                                    frequency:2    
birthday                                 frequency:10   
birthdaycontents                         frequency:1    
bishops                                  frequency:1    
bit                                      frequency:32   
bite                                     frequency:1    
biting                                   frequency:5    
bits                                     frequency:4    
bitten                                   frequency:1    
bitter                                   frequency:1    
bitterly                                 frequency:2    
bitterness                               frequency:1    
bizarre                                  frequency:2    
black                                    frequency:67   
blackboard                               frequency:3    
blackmail                                frequency:1    
blackness                                frequency:4    
blame                                    frequency:5    
blamed                                   frequency:2    
blanched                                 frequency:1    
blank                                    frequency:5    
blanket                                  frequency:2    
blankets                                 frequency:1    
blankly                                  frequency:4    
blasted                                  frequency:2    
blaze                                    frequency:5    
blazed                                   frequency:2    
blazes                                   frequency:1    
blazing                                  frequency:5    
bleakly                                  frequency:1    
blearily                                 frequency:1    
bleeding                                 frequency:2    
bless                                    frequency:2    
blew                                     frequency:1    
blighters                                frequency:1    
blimey                                   frequency:1    
blind                                    frequency:2    
blinded                                  frequency:1    
blinding                                 frequency:2    
blindly                                  frequency:2    
blink                                    frequency:1    
blinked                                  frequency:6    
blinking                                 frequency:1    
blizzard                                 frequency:1    
block                                    frequency:2    
blocked                                  frequency:2    
blocking                                 frequency:1    
bloke                                    frequency:2    
blond                                    frequency:2    
blonde                                   frequency:1    
blood                                    frequency:30   
bloodless                                frequency:1    
bloods                                   frequency:2    
bloodstained                             frequency:1    
bloodstains                              frequency:1    
bloody                                   frequency:2    
bloom                                    frequency:2    
blossoming                               frequency:2    
blot                                     frequency:2    
blotched                                 frequency:1    
blotting                                 frequency:2    
blotts                                   frequency:4    
blottscontents                           frequency:1    
blow                                     frequency:5    
blowing                                  frequency:2    
blows                                    frequency:1    
bludger                                  frequency:32   
bludgercontents                          frequency:1    
bludgers                                 frequency:4    
blue                                     frequency:16   
blundered                                frequency:4    
blundering                               frequency:1    
blunt                                    frequency:2    
blurred                                  frequency:3    
blurs                                    frequency:1    
blurted                                  frequency:1    
blushed                                  frequency:1    
blushing                                 frequency:3    
boa                                      frequency:2    
board                                    frequency:8    
boarhound                                frequency:5    
boasting                                 frequency:2    
boat                                     frequency:2    
boatlike                                 frequency:1    
bobbing                                  frequency:2    
bodies                                   frequency:2    
bodiless                                 frequency:2    
body                                     frequency:15   
bogies                                   frequency:1    
boil                                     frequency:1    
boiling                                  frequency:3    
boils                                    frequency:1    
bold                                     frequency:1    
bolt                                     frequency:3    
bolted                                   frequency:1    
bolts                                    frequency:1    
bomb                                     frequency:1    
bombard                                  frequency:1    
bone                                     frequency:2    
boneless                                 frequency:1    
bones                                    frequency:8    
bonnet                                   frequency:1    
bony                                     frequency:2    
booger                                   frequency:1    
book                                     frequency:42   
booked                                   frequency:4    
booklist                                 frequency:1    
books                                    frequency:38   
bookshelf                                frequency:1    
bookshelves                              frequency:3    
bookshop                                 frequency:2    
boomerang                                frequency:1    
booming                                  frequency:3    
boomslang                                frequency:3    
boos                                     frequency:2    
booster                                  frequency:4    
booth                                    frequency:1    
boots                                    frequency:3    
bored                                    frequency:2    
borgin                                   frequency:18   
boring                                   frequency:6    
born                                     frequency:15   
borns                                    frequency:10   
borrow                                   frequency:1    
borrowed                                 frequency:2    
borrowing                                frequency:1    
boss                                     frequency:1    
bossily                                  frequency:1    
both                                     frequency:46   
bother                                   frequency:3    
bothered                                 frequency:2    
bothering                                frequency:4    
bottle                                   frequency:9    
bottles                                  frequency:2    
bottom                                   frequency:6    
boughs                                   frequency:1    
bought                                   frequency:10   
boulder                                  frequency:1    
bounced                                  frequency:6    
bound                                    frequency:5    
bounded                                  frequency:5    
bounding                                 frequency:1    
